"Long_emp_retention","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator"
9.790554415,1,0,41,1,0,1,1,1,3,1,1,1,0
129.8069815,1,0,22,0,0,0,0,1,3,0,0,0,0
68.27104723,1,0,24,0,0,0,1,1,0,1,0,0,1
2.431211499,1,0,28,1,0,0,1,1,1,0,0,1,1
18.1026694,1,0,44,1,0,1,0,1,3,1,0,1,0
11.76180698,0,0,39,1,0,0,1,1,1,0,0,0,0
5.092402464,0,0,29,1,0,0,0,1,2,0,1,1,0
6.53798768,1,0,26,1,0,0,0,1,1,1,0,0,1
37.32238193,0,1,25,0,1,1,1,0,3,0,1,0,0
3.778234086,0,0,46,1,0,0,1,1,3,0,1,0,0
5.782340862,1,0,32,1,0,0,0,0,1,1,0,0,1
45.8973306,1,0,31,1,0,1,1,0,2,1,0,0,1
70.93223819,1,0,26,1,0,1,1,1,3,0,1,0,0
2.036960986,1,0,48,1,0,0,1,1,1,0,0,1,1
34.49691992,0,0,38,1,0,1,1,0,3,0,0,1,1
16.65708419,0,0,38,1,0,0,1,1,2,0,0,0,0
5.848049281,1,0,23,1,1,0,1,1,3,1,1,0,0
31.34291581,0,0,22,1,0,0,1,1,3,0,1,1,0
16,1,0,26,1,0,1,1,1,1,0,0,1,0
45.79876797,1,0,27,1,0,0,1,1,3,1,0,0,0
13.5687885,1,0,33,1,0,1,1,0,1,0,0,0,1
19.18685832,1,0,22,0,1,1,0,1,0,0,0,0,0
11.23613963,1,1,26,0,0,1,1,1,3,0,1,1,0
12.78028747,1,0,24,1,0,0,1,1,0,0,0,1,0
61.79876797,1,1,22,0,0,1,1,1,3,1,0,0,0
22.24229979,0,0,46,1,1,0,1,1,1,1,0,0,0
52.79671458,0,0,29,1,0,0,1,1,1,1,1,0,0
32.95277207,1,1,24,1,0,0,1,1,3,0,1,1,0
11.76180698,0,0,39,1,0,0,1,1,3,0,0,0,0
7.589322382,1,0,22,1,1,0,0,0,1,0,1,0,0
43.92607803,1,0,32,1,0,1,1,1,1,0,0,0,1
34.23408624,0,0,24,1,0,0,1,1,0,1,0,0,0
51.74537988,0,1,32,1,0,0,1,1,2,1,0,0,1
43.4661191,1,0,22,1,0,1,1,1,3,0,1,1,0
20.99383984,0,0,26,1,0,1,1,1,0,0,0,1,1
103.5893224,0,0,21,1,0,0,0,1,3,0,1,1,0
12.8788501,1,0,23,1,0,0,0,1,2,1,0,0,0
73.49486653,1,1,33,0,0,0,1,1,3,0,1,1,0
4.402464066,0,1,40,0,0,1,0,1,1,1,0,1,1
1.675564682,0,1,36,1,0,0,1,0,2,0,1,0,1
23.2936345,0,0,29,0,1,1,1,0,0,1,0,0,1
23.45790554,0,0,29,1,0,0,1,0,1,1,0,0,1
20.30390144,0,0,45,1,0,0,0,1,1,1,0,1,1
6.669404517,1,1,27,0,0,0,1,1,1,0,1,0,0
10.34907598,1,0,37,0,0,1,1,1,1,1,0,0,1
37.15811088,1,1,38,1,0,0,1,1,1,0,0,1,0
81.64271047,0,0,31,1,1,0,1,1,3,0,1,0,0
24.24640657,0,0,30,1,0,0,1,1,2,1,0,0,1
21.88090349,0,0,38,1,0,0,1,1,1,0,1,1,0
23.81930185,1,1,22,0,1,1,1,1,1,0,0,1,1
26.67761807,0,0,19,1,1,0,1,1,1,0,1,1,0
23.95071869,1,1,34,0,0,1,1,1,0,0,0,1,0
16.62422998,0,0,32,1,0,1,0,1,1,0,0,1,1
13.66735113,1,0,27,1,0,1,1,0,0,0,1,0,0
