"Long_emp_retention","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator"
17.93839836,1,1,24,1,0,0,0,1,3,1,1,0,1
38.53798768,0,1,40,0,0,1,1,0,3,1,1,1,0
24.83778234,1,0,42,1,0,1,1,1,2,0,0,0,0
67.4825462,0,0,36,1,0,0,1,1,3,1,0,1,1
109.2402464,0,0,22,1,0,0,1,1,2,0,1,0,0
70.93223819,1,0,26,1,0,1,1,1,3,1,1,0,0
44.97741273,1,1,29,1,0,1,1,0,3,0,0,1,1
7.195071869,0,1,27,1,0,0,0,1,0,0,0,1,1
42.38193018,1,0,26,0,0,1,1,1,0,1,0,0,0
1.675564682,0,1,36,1,0,0,1,0,2,0,1,0,1
3.121149897,1,0,41,1,0,0,1,1,3,0,1,0,0
64.29568789,1,1,44,0,0,1,1,1,3,0,1,1,0
17.93839836,1,0,40,1,1,1,1,1,3,1,1,0,1
5.749486653,0,1,32,1,0,1,1,1,3,0,0,1,0
50.0698152,0,0,37,1,0,0,1,1,3,1,0,0,1
5.782340862,1,0,32,1,0,0,0,0,1,1,0,0,1
50.72689938,1,1,38,1,0,1,1,0,1,0,0,1,0
53.19096509,1,0,37,1,0,1,1,1,1,0,0,1,1
54.01232033,1,1,37,0,0,1,1,1,0,0,0,0,1
70.50513347,1,0,24,1,0,0,1,1,0,0,1,0,0
133.8809035,1,1,19,0,0,0,1,0,1,0,0,1,1
27.56468172,0,0,26,1,0,0,1,0,3,1,1,0,0
109.1088296,0,0,29,1,0,1,1,0,3,0,1,0,0
11.00616016,1,1,41,1,0,1,1,1,3,0,1,1,0
70.17659138,0,0,31,1,0,0,1,1,3,0,1,0,0
33.67556468,0,1,42,0,0,1,1,0,3,0,1,1,0
123.3347023,1,0,22,0,0,1,1,1,3,1,1,0,1
9.790554415,1,0,41,1,0,1,1,1,3,1,1,0,0
51.08829569,1,0,31,1,0,0,1,1,1,0,0,1,1
48.6899384,0,0,25,1,1,0,1,1,1,0,1,1,0
3.975359343,1,0,29,1,1,1,1,1,1,1,0,1,0
43.69609856,0,0,36,1,0,0,1,1,2,1,0,0,1
35.84394251,0,0,27,1,0,1,1,1,3,0,1,1,1
34.0698152,1,0,34,0,0,1,0,0,0,0,0,0,0
7.523613963,0,0,39,1,0,1,1,1,1,0,1,0,0
2.168377823,0,0,26,0,0,0,1,1,2,1,0,0,1
0.427104723,1,0,24,1,1,0,1,1,0,0,0,0,0
23.45790554,0,0,29,1,0,1,1,1,1,1,0,0,0
153.100616,0,1,43,0,0,1,1,0,1,0,0,1,0
116.7310062,1,1,38,0,1,1,1,0,0,1,0,0,1
4.435318275,1,0,30,0,1,1,1,1,2,0,0,1,1
10.38193018,0,0,34,0,0,0,1,0,1,0,1,0,0
103.7207392,0,0,34,0,0,0,1,0,3,0,1,0,0
49.14989733,1,0,28,1,0,1,1,1,0,1,0,0,1
149.6180698,0,0,30,0,0,1,1,0,2,1,0,0,1
19.71252567,1,0,23,0,0,0,1,1,1,0,0,0,1
67.84394251,1,1,24,1,1,1,1,0,2,0,0,1,0
